folioviv,foliohog,ubica_geo,factor,ing_cor,gasto_mon,alimentos,educa_espa,transporte,salud,entidad
100029206,1,1001,165,56066.2,41164.99,8627.07,377.41,13973.42,0.0,1
100030401,1,1001,211,105790.26,36103.2,24364.05,1027.17,1285.71,0.0,1
100030402,1,1001,211,22916.21,38615.94,23759.82,1887.09,8174.41,313.04,1
100030403,1,1001,211,67983.5,23216.23,14078.34,0.0,5839.13,0.0,1
100030404,1,1001,211,66867.22,19475.55,12496.97,0.0,5638.85,0.0,1
100030405,1,1001,211,67052.78,36059.69,16109.87,2881.13,9193.54,0.0,1
100030406,1,1001,211,30081.51,29494.43,6467.0,1451.6,12443.88,0.0,1
100031401,1,1001,197,37222.81,33255.09,3767.07,0.0,10940.31,0.0,1
100031403,1,1001,197,72079.63,31974.4,20584.11,0.0,4983.87,0.0,1
100031404,1,1001,197,70893.91,46843.66,11031.26,15544.86,7711.45,0.0,1
100031405,1,1001,197,126221.77,81261.62,42749.92,6798.91,9228.38,0.0,1
100031406,1,1001,197,60295.56,42185.96,13654.13,12748.92,7533.86,210.32,1
100032501,1,1001,202,90883.57,83049.44,15929.92,10483.15,41318.56,342.39,1
100032502,1,1001,202,99303.38,49916.71,17151.19,0.0,15314.51,0.0,1
100032503,1,1001,202,140624.97,101597.05,4821.37,518.62,68613.83,1027.17,1
100032504,1,1001,202,45418.46,18095.24,9115.6,0.0,3294.52,313.03,1
100032505,1,1001,202,292405.31,47688.14,9372.79,14183.19,10293.4,939.13,1
100032506,1,1001,202,61046.59,17520.18,9359.94,34.23,4057.04,107.6,1
100033301,1,1001,227,89265.93,37403.26,17151.31,7450.55,5501.61,0.0,1
100033302,1,1001,227,54981.39,37054.66,12766.92,6677.41,6722.79,1539.78,1
100033303,1,1001,227,114713.89,63190.31,20648.34,4732.24,10038.98,1349.98,1
100033304,1,1001,227,73306.6,75972.29,20198.35,1405.85,16283.66,31920.62,1
100033305,1,1001,227,70419.27,61476.96,21940.52,11360.21,11648.82,174.12,1
100033306,1,1001,227,173469.07,62410.47,27803.37,13645.14,13895.25,410.85,1
100034601,1,1001,192,60793.8,25396.99,17408.49,0.0,2828.5,0.0,1
100034602,1,1001,192,25967.2,27799.28,12638.36,3900.0,3582.84,0.0,1
100034603,1,1001,192,39456.65,30850.87,15569.77,0.0,3947.1,0.0,1
100034605,1,1001,192,84049.16,37292.11,16534.07,0.0,10379.95,0.0,1
100034606,1,1001,192,41769.36,24591.37,12445.59,0.0,3728.57,0.0,1
100035801,1,1001,207,61898.31,41164.54,15724.05,6565.2,6855.99,440.2,1
100035802,1,1001,207,150373.73,55857.07,21908.3,7500.0,3150.0,293.47,1
100035803,1,1001,207,21408.05,18741.47,7187.02,0.0,4291.72,0.0,1
100035804,1,1001,207,213407.41,100778.67,19889.87,20004.78,19790.16,2934.78,1
100035805,1,1001,207,28187.28,5313.81,3072.81,0.0,0.0,0.0,1
100035806,1,1001,207,32587.56,47305.26,27269.73,9469.18,3775.67,342.38,1
100036001,1,1001,208,71353.19,117357.79,18449.77,0.0,56380.81,38543.45,1
100036002,1,1001,208,39619.54,40341.71,27771.22,0.0,4139.86,1056.5,1
100036003,1,1001,208,39067.31,24278.43,13769.86,0.0,1632.81,2152.17,1
100036005,1,1001,208,52379.23,19181.14,1542.85,6096.77,6754.83,0.0,1
100036006,1,1001,208,45274.01,21176.25,2005.66,0.0,0.0,0.0,1
100037303,1,1001,198,47533.98,28135.42,13011.29,48.91,4633.8,645.64,1
100037304,1,1001,198,25095.16,18324.56,10015.56,0.0,3204.6,0.0,1
100037305,1,1001,198,32599.57,48863.4,20635.51,13981.53,6819.79,0.0,1
100037306,1,1001,198,36926.73,32330.39,20275.58,0.0,4722.58,538.04,1
100038501,1,1001,177,62304.49,30442.42,18141.2,3319.38,2644.11,1320.64,1
100038502,1,1001,177,46177.67,29553.61,9747.35,5623.42,4313.43,1467.39,1
100038503,1,1001,177,63450.42,24601.08,9012.73,3301.44,7148.54,0.0,1
100038504,1,1001,177,79044.77,61405.86,17781.19,17536.08,11156.99,1173.91,1
100038505,1,1001,177,54533.11,39582.95,15531.25,0.0,8102.79,0.0,1
100038506,1,1001,177,78055.4,28488.83,9809.8,1727.37,2782.25,0.0,1
100039701,1,1001,208,43337.7,26360.51,9591.29,1290.0,4392.8,6358.69,1
100039702,1,1001,208,104763.91,71852.55,28195.47,17040.0,16819.67,151.62,1
100039703,1,1001,208,43967.2,31517.91,10291.96,383.6,2340.0,97.81,1
100039704,1,1001,208,67327.84,50469.22,27064.13,3586.95,6647.1,0.0,1
